Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2935,41,9,228,40,693,221,221,134,1710,Commanche,C7756,0
3069,269,13,90,32,2333,185,244,199,531,Commanche,C7756,1
2987,152,29,60,8,3331,241,226,94,993,Commanche,C4758,1
2846,341,11,67,4,2455,197,224,165,612,Commanche,C7755,1
3160,13,15,108,25,604,204,208,138,2010,Neota,C7202,0
2982,180,2,300,30,4319,220,240,157,5399,Rawah,C4744,1
2928,47,15,268,108,3550,224,206,112,2395,Rawah,C7745,1
2932,72,15,376,19,4582,236,210,102,4176,Rawah,C7202,1
3320,193,21,150,26,2227,213,251,163,3662,Neota,C7756,0
3041,0,9,607,69,5653,206,222,154,3878,Rawah,C7745,0
2996,318,14,190,19,4513,182,226,184,182,Rawah,C7745,1
3431,91,16,684,198,2205,243,213,95,1505,Rawah,C8772,6
2586,310,8,437,116,720,197,234,177,702,Commanche,C2703,1
2029,87,34,90,81,120,246,165,19,90,Cache,C2702,2
3265,330,14,420,81,350,185,222,176,1521,Neota,C7202,0
3194,0,5,180,35,2437,212,230,156,2610,Rawah,C7202,0
2969,138,15,300,49,1924,242,233,117,1418,Commanche,C7755,0
2867,315,15,134,20,2790,178,226,188,2297,Rawah,C7745,1
3175,55,16,402,82,3936,229,203,103,2850,Rawah,C7746,1
2757,311,35,579,2,924,107,192,214,1307,Commanche,C7710,1
3129,67,8,150,0,6379,228,224,129,2397,Rawah,C7745,1
3383,203,7,180,-9,2965,217,247,166,390,Commanche,C8771,0
3152,328,15,666,241,5405,183,222,178,1024,Rawah,C7745,1
3037,50,15,371,46,3017,226,207,111,5896,Rawah,C7745,1
2465,321,9,0,0,738,196,231,175,511,Cache,C4703,1
2919,354,11,42,5,2847,201,220,157,1199,Commanche,C7757,1
3011,334,20,685,254,785,171,210,176,1489,Commanche,C7757,1
2350,71,16,134,43,1031,236,206,96,990,Cache,C2704,2
2217,320,24,309,153,684,152,210,194,481,Cache,C4703,2
2988,130,12,67,6,4285,239,233,123,2220,Rawah,C7745,1
2857,20,13,582,71,2003,210,211,135,1140,Commanche,C4704,1
3176,149,10,0,0,4322,234,240,137,3254,Commanche,C7201,0
2945,106,14,180,52,1958,243,223,107,1604,Commanche,C7755,0
3318,294,23,150,52,1978,151,228,214,2463,Commanche,C7757,0
2579,53,20,192,69,1415,227,192,90,1595,Commanche,C4703,5
3046,13,8,108,-12,2971,212,223,148,1142,Rawah,C7745,1
2968,127,10,201,0,4073,237,234,126,5615,Rawah,C7745,1
3180,21,24,408,104,1320,196,181,113,1710,Commanche,C7757,1
2606,217,34,60,26,2742,165,248,199,997,Commanche,C2705,2
3124,194,19,937,296,4338,214,252,165,1443,Commanche,C7757,1
2506,155,7,0,0,1788,228,241,146,1717,Commanche,C6102,5
3329,177,21,480,123,1666,225,246,144,1638,Commanche,C7757,0
2713,330,13,120,45,1215,188,224,175,3142,Rawah,C7746,1
2763,48,16,190,53,1248,225,202,107,1571,Commanche,C4703,1
3357,6,9,134,41,2881,209,222,151,2281,Rawah,C8772,6
3015,316,22,175,64,2490,158,216,196,1022,Commanche,C7755,1
3153,117,24,234,0,3267,253,209,69,2689,Rawah,C7745,0
2452,202,11,42,6,1869,215,250,168,150,Commanche,C2703,2
3136,307,7,150,41,4410,201,236,175,1295,Rawah,C7745,0
2992,107,21,457,165,1218,251,209,76,547,Rawah,C7746,0
2778,41,13,175,15,240,221,211,123,949,Rawah,C7746,1
3156,126,8,268,8,5147,234,235,132,2652,Rawah,C7745,1
2781,69,28,342,145,1034,236,173,50,769,Commanche,C4758,1
2761,319,16,95,46,2321,176,224,187,277,Commanche,C7757,0
2343,60,15,30,8,391,231,207,105,706,Commanche,C5101,2
2052,29,16,0,0,942,213,204,123,510,Cache,C6102,3
3005,38,15,404,146,1723,218,205,118,2896,Commanche,C7700,0
2921,193,18,124,49,3413,215,251,164,2167,Commanche,C2705,1
2370,321,13,0,0,799,187,227,180,335,Cache,C4703,2
3015,324,15,228,-14,2385,182,223,181,1431,Commanche,C7757,0
2577,49,13,300,38,1854,225,211,117,2040,Commanche,C4704,1
3142,352,2,573,49,153,216,236,157,2596,Commanche,C7202,1
2511,341,14,120,28,182,191,219,167,1693,Cache,C4703,5
2965,108,6,30,-2,2341,231,233,136,1650,Rawah,C7745,0
2584,16,23,42,9,1261,193,185,120,787,Commanche,C7700,1
3167,79,5,150,6,1974,226,231,139,576,Rawah,C7202,0
2997,66,17,361,32,4835,234,203,95,2658,Rawah,C7202,0
2932,61,10,674,72,1168,228,220,124,1536,Commanche,C7756,1
2846,16,10,85,10,1237,211,219,143,2389,Commanche,C7755,1
3290,49,14,433,-31,3334,225,209,115,1939,Commanche,C8772,6
2541,132,34,60,0,1383,251,199,45,408,Commanche,C4703,2
2411,25,20,190,60,592,206,193,117,1140,Cache,C4703,2
2903,94,18,218,48,3776,246,209,85,5764,Rawah,C7746,1
3196,56,7,85,-17,2460,225,226,135,2739,Rawah,C7202,0
2329,284,8,330,110,780,198,240,181,365,Cache,C2717,2
2543,72,10,190,14,1087,232,221,120,4953,Rawah,C6731,1
2611,349,16,67,9,1539,189,212,160,1252,Rawah,C7745,1
3209,43,20,0,0,2954,220,192,99,2452,Rawah,C7745,0
2850,42,17,283,52,3836,220,200,110,5502,Rawah,C7745,1
2559,119,9,30,3,871,235,233,128,1521,Commanche,C2703,1
3184,315,16,150,41,4749,176,226,189,1031,Rawah,C7201,0
2875,73,25,212,93,1471,240,183,58,2028,Commanche,C4758,1
2888,273,16,270,4,1436,176,243,205,1499,Commanche,C7756,1
3431,113,12,787,198,2136,240,228,117,1613,Rawah,C8703,6
