Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
3291,220,20,516,153,955,193,254,192,4554,Neota,C7756
2807,84,16,192,36,1635,241,212,97,2067,Rawah,C7745
2885,141,7,67,-1,891,230,238,141,2407,Commanche,C6102
2794,36,15,658,103,390,218,207,121,1071,Commanche,C4704
3071,34,2,170,0,3360,219,235,153,1358,Rawah,C7745
2911,177,16,531,79,738,226,247,148,1573,Commanche,C2705
2933,67,4,182,57,1355,223,232,144,808,Commanche,C7757
3386,207,15,295,41,2440,208,253,176,3393,Neota,C7756
2565,68,4,242,20,1304,224,231,142,1377,Commanche,C2703
3084,351,15,150,2,2969,192,213,158,636,Rawah,C7745
2794,166,15,120,20,1072,231,244,140,924,Commanche,C2703
2677,357,22,42,9,1158,180,194,148,3189,Rawah,C7746
2988,172,11,577,47,2109,228,245,148,2312,Commanche,C7756
2829,228,11,30,4,2313,203,251,183,2053,Commanche,C4758
2804,348,12,306,43,1844,198,221,161,2938,Rawah,C4744
2930,301,21,306,59,2065,158,226,207,1399,Commanche,C7755
2817,121,13,150,46,531,241,229,116,1140,Rawah,C7746
2108,182,24,134,44,604,219,247,147,914,Cache,C2703
3139,223,15,212,75,2550,199,253,188,934,Commanche,C7202
3027,225,10,849,131,5815,207,250,179,5555,Rawah,C7745
2985,78,12,324,7,3874,235,219,114,4802,Rawah,C7745
3117,111,6,30,1,1047,230,234,137,1851,Rawah,C7202
3034,26,14,612,110,4172,213,208,129,2275,Rawah,C7745
2616,64,16,192,49,990,233,205,99,3463,Rawah,C7745
3093,3,15,499,3,3669,198,210,148,4499,Rawah,C7745
2907,244,18,85,11,3065,182,251,205,2071,Commanche,C7700
2982,203,13,127,29,4063,213,251,171,938,Rawah,C7745
3249,89,31,255,79,3778,248,174,31,2557,Rawah,C8772
2967,6,7,300,35,2072,211,226,152,666,Commanche,C7756
3380,322,16,918,210,4534,179,223,183,2751,Commanche,C8771
3301,186,13,30,-4,2724,222,249,158,451,Commanche,C8771
3107,45,10,339,32,4567,223,217,128,3055,Rawah,C7745
3269,27,1,285,71,2935,218,236,155,1266,Commanche,C7756
3013,263,8,660,-55,1690,200,244,183,2221,Commanche,C7755
2710,171,15,390,76,2375,229,246,144,2282,Commanche,C2705
3255,18,4,0,0,4079,217,231,152,1867,Rawah,C8771
2930,238,13,459,66,1774,195,251,192,1090,Commanche,C7755
2937,135,13,324,71,3523,240,234,120,2671,Rawah,C7745
3126,49,11,210,20,3264,224,217,125,5172,Rawah,C7746
2618,104,15,484,-21,674,245,219,99,600,Commanche,C2703
3135,233,21,497,76,3416,181,253,204,1371,Commanche,C4758
2720,327,19,360,109,1934,170,215,183,2363,Commanche,C4703
3134,120,18,247,32,108,248,222,96,4391,Neota,C7201
3074,281,23,551,142,6060,149,234,222,1593,Rawah,C7745
2968,345,7,85,13,4726,207,230,161,5537,Rawah,C4744
2699,47,10,42,12,1842,224,219,129,3865,Rawah,C7202
2745,50,8,150,16,2805,224,223,133,5009,Rawah,C4744
2692,63,3,573,79,1048,222,233,146,1410,Rawah,C4744
3009,30,16,404,150,1697,214,204,122,2937,Commanche,C7700
3039,158,9,446,72,4500,230,242,144,1601,Rawah,C7745
3154,168,19,603,-52,424,231,244,135,1875,Commanche,C7202
3083,148,10,108,-15,713,234,239,136,1691,Rawah,C7202
3125,135,1,0,0,2105,221,238,153,3024,Commanche,C7202
2791,141,6,361,21,2201,229,238,143,1822,Rawah,C4744
3246,130,29,780,92,1189,252,208,62,2539,Rawah,C7745
2874,143,7,60,1,3273,231,239,140,2773,Rawah,C7745
3288,5,13,382,83,2781,204,215,148,2374,Commanche,C7700
2868,11,15,124,10,3013,203,209,141,2642,Rawah,C7745
2492,351,27,90,29,1187,163,184,151,1698,Commanche,C4703
3184,295,16,30,2,1585,174,234,199,543,Neota,C7756
2956,11,10,297,58,1006,209,220,147,671,Commanche,C7756
2811,201,22,124,33,1831,204,253,174,2226,Commanche,C4758
3094,301,3,0,0,2671,211,238,165,537,Commanche,C7202
2859,90,17,277,63,789,244,210,90,866,Rawah,C7746
3138,305,9,488,101,2067,195,235,181,912,Commanche,C4758
2987,309,13,0,0,510,183,231,188,1103,Commanche,C7700
3287,135,8,379,181,4160,233,237,135,1365,Rawah,C7745
3057,16,8,162,25,1087,213,223,146,1484,Neota,C7202
3145,212,14,443,79,5936,208,252,178,1895,Rawah,C7746
3146,22,5,120,-1,5039,217,229,149,2809,Rawah,C7202
2972,298,8,424,36,4361,198,237,180,4979,Rawah,C4744
2545,143,7,30,0,1691,231,239,140,1681,Commanche,C2705
2836,29,6,60,3,1355,218,227,145,2496,Rawah,C7745
3084,108,13,277,48,1537,242,224,109,2722,Rawah,C7745
2759,76,6,90,3,1867,228,229,136,1622,Rawah,C4744
2713,135,1,150,24,1894,220,238,155,5760,Rawah,C4744
2061,23,24,108,64,210,199,181,110,339,Cache,C4703
3311,347,13,618,36,2329,195,218,162,938,Commanche,C7756
2867,72,2,0,0,5061,222,234,149,4395,Rawah,C6101
3207,225,12,560,134,5984,204,251,183,2200,Rawah,C7746
2723,130,15,120,1,2355,243,230,112,2384,Commanche,C4704
3061,242,21,467,85,1315,174,252,211,626,Commanche,C4758
3227,293,7,190,-2,4686,200,239,178,646,Rawah,C8771
3064,157,25,1114,176,3234,238,234,110,1492,Commanche,C7757
3280,178,8,564,189,3874,224,245,155,589,Commanche,C7790
3097,131,18,192,18,5143,246,227,103,1950,Rawah,C7745
2895,358,18,732,323,1262,190,205,150,834,Commanche,C7757
2690,104,9,90,8,2018,235,229,126,6930,Rawah,C4744
2873,8,18,108,2,537,197,203,139,361,Commanche,C7755
3245,94,4,450,1,4387,225,234,144,2356,Rawah,C7201
3380,98,3,30,1,2652,225,234,145,1325,Commanche,C8772
2867,155,18,60,4,1519,238,238,122,2518,Commanche,C4758
2779,7,10,108,18,576,208,221,150,2789,Commanche,C4704
2965,157,20,335,-29,4520,238,238,121,2114,Rawah,C7745
2360,18,10,124,55,1100,212,218,142,908,Cache,C4703
2622,357,10,277,75,255,204,221,155,1142,Rawah,C4744
2935,95,20,510,139,1036,247,206,79,900,Rawah,C7745
3318,218,13,658,92,3654,206,252,180,2484,Rawah,C7202
2969,257,12,277,132,2524,192,247,193,2082,Commanche,C7756
2499,102,13,30,-10,1199,242,222,107,1565,Commanche,C2705
3192,12,20,488,42,1326,195,194,131,1343,Commanche,C8772
2378,126,17,30,0,558,246,227,104,1307,Cache,C2705
3284,199,27,192,42,1040,199,251,171,1008,Rawah,C7201
3135,144,13,339,57,228,238,237,127,3467,Neota,C7201
2833,53,9,400,67,1986,226,221,129,841,Commanche,C4704
3049,70,5,430,77,2374,225,230,140,2202,Commanche,C7756
3027,95,15,30,7,4637,242,217,100,2060,Rawah,C7746
2701,148,12,0,0,1980,235,239,133,1216,Rawah,C4744
3120,19,12,85,12,4122,211,214,138,1738,Rawah,C7202
3236,310,26,552,158,495,139,211,207,1332,Neota,C7201
3076,18,4,0,0,3340,217,231,152,1191,Rawah,C7202
2654,92,25,0,0,124,249,193,57,677,Rawah,C7746
3237,321,6,127,7,4598,204,234,169,721,Rawah,C8772
3162,53,14,417,93,4493,227,208,111,2285,Rawah,C7745
2963,82,18,67,3,5113,241,207,89,537,Rawah,C7746
2936,12,8,492,46,4591,212,224,149,5447,Rawah,C4744
2956,81,24,510,132,607,244,191,63,942,Commanche,C7757
3126,52,29,541,221,2290,220,163,58,2190,Commanche,C7757
2697,24,19,124,13,1321,206,196,121,1892,Commanche,C7757
3370,116,17,499,79,1961,247,221,96,2920,Neota,C8771
3223,264,12,182,44,4470,189,245,195,3099,Rawah,C7745
3145,39,10,400,76,4380,221,218,131,2163,Rawah,C7745
2982,331,21,323,71,3237,167,209,180,1464,Commanche,C7700
3380,27,23,408,165,2054,204,183,106,2018,Rawah,C8772
3249,334,15,480,115,3463,185,219,173,2760,Commanche,C7755
3031,102,10,301,-5,3573,238,226,119,2748,Rawah,C7746
3097,185,22,0,0,2888,218,249,154,1316,Commanche,C7202
